Date,facebook_close,apple_close,amazon_close,netflix_close,google_close,boeing_close,index_close
2022-01-03,338.540009,182.009995,170.404495,597.369995,145.074493,207.860001,1641.258988
2022-01-04,336.529999,179.699997,167.522003,591.150024,144.416504,213.630005,1632.9485320000001
2022-01-05,324.170013,174.919998,164.356995,567.52002,137.653503,213.070007,1581.690536
2022-01-06,332.459991,172.0,163.253998,553.289978,137.550995,211.339996,1569.894958
2022-01-07,331.790009,172.169998,162.554001,541.059998,137.004501,215.5,1560.0785069999997
2022-01-08,330.550008,172.176666,162.197998,540.656657,137.527669,213.436666,1556.5456640000002
2022-01-09,329.310008,172.183334,161.841995,540.253317,138.050837,211.373332,1553.012823
2022-01-10,328.070007,172.190002,161.485992,539.849976,138.574005,209.309998,1549.4799799999998
2022-01-11,334.369995,175.080002,165.362,540.840027,140.017502,216.020004,1571.6895299999999
2022-01-12,333.26001,175.529999,165.207001,537.219971,141.647995,217.449997,1570.314973
2022-01-13,326.480011,172.190002,161.214005,519.200012,139.130997,223.899994,1542.115021
2022-01-14,331.899994,173.070007,162.138,525.690002,139.786499,225.960007,1558.544509
2022-01-15,328.462494,172.252506,161.332874,521.967499,138.912498,225.722504,1548.6503750000002
2022-01-16,325.024994,171.435005,160.527748,518.244995,138.038498,225.485001,1538.756241
2022-01-17,321.587494,170.617504,159.722622,514.522492,137.164497,225.247498,1528.862107
2022-01-18,318.149994,169.800003,158.917496,510.799988,136.290497,225.009995,1518.9679729999998
2022-01-19,319.589996,166.229996,156.298996,515.859985,135.651993,217.080002,1510.7109679999999
2022-01-20,316.559998,164.509995,151.667496,508.25,133.5065,214.190002,1488.683991
2022-01-21,303.170013,162.410004,142.643005,397.5,130.091995,205.440002,1341.255019
2022-01-22,305.016672,162.146668,143.276672,394.049998,130.185328,205.026667,1339.702005
2022-01-23,306.863332,161.883331,143.910339,390.599996,130.278661,204.613332,1338.148991
2022-01-24,308.709991,161.619995,144.544006,387.149994,130.371994,204.199997,1336.595977
2022-01-25,300.149994,159.779999,139.985992,366.420013,126.735497,204.100006,1297.1715009999998
2022-01-26,294.630005,159.690002,138.872498,359.700012,129.240005,194.270004,1276.4025259999999
2022-01-27,294.640015,159.220001,139.637497,386.700012,129.121002,189.75,1299.0685270000001
2022-01-28,301.709991,170.330002,143.977997,384.359985,133.289505,190.570007,1324.2374869999999
2022-01-29,305.559997,171.813334,145.843165,398.619995,134.092504,193.79334,1349.722335
2022-01-30,309.410004,173.296667,147.708334,412.880005,134.895503,197.016672,1375.207185
2022-01-31,313.26001,174.779999,149.573502,427.140015,135.698502,200.240005,1400.6920329999998
2022-02-01,319.0,174.610001,151.193497,457.130005,137.878494,208.339996,1448.151993
2022-02-02,323.0,175.839996,150.612503,429.480011,148.036499,207.520004,1434.489013
2022-02-03,237.759995,172.899994,138.845505,405.600006,142.650497,206.389999,1304.145996
2022-02-04,237.089996,172.389999,157.639496,410.170013,143.016006,206.449997,1326.755507
2022-02-05,233.029999,172.146667,157.738164,407.480011,141.656672,208.273331,1320.3248440000002
2022-02-06,228.970001,171.903336,157.836833,404.790008,140.297338,210.096664,1313.89418
2022-02-07,224.910004,171.660004,157.935501,402.100006,138.938004,211.919998,1307.4635170000001
2022-02-08,220.179993,174.830002,161.413498,403.529999,139.212997,213.270004,1312.436493
2022-02-09,232.0,176.279999,161.189499,412.890015,141.453003,215.860001,1339.672517
2022-02-10,228.070007,172.119995,159.003494,406.269989,138.602493,218.75,1322.815978
2022-02-11,219.550003,168.639999,153.293503,391.309998,134.130005,212.300003,1279.223511
2022-02-12,218.933334,168.720001,153.918004,393.063334,134.520004,211.546666,1280.701343
2022-02-13,218.316666,168.800003,154.542506,394.816671,134.910004,210.79333,1282.17918
2022-02-14,217.699997,168.880005,155.167007,396.570007,135.300003,210.039993,1283.6570120000001
2022-02-15,221.0,172.789993,156.510498,407.459991,136.425507,217.729996,1311.9159849999999
2022-02-16,216.539993,172.550003,158.100494,398.079987,137.487503,218.929993,1301.687973
2022-02-17,207.710007,168.880005,154.652496,386.670013,132.308502,213.580002,1263.801025
2022-02-18,206.160004,167.300003,152.601501,391.290009,130.467499,209.029999,1256.8490150000002
2022-02-19,205.140003,166.555004,152.0005,387.812508,130.201248,206.4575,1248.166763
2022-02-20,204.120003,165.810005,151.399498,384.335007,129.934998,203.885002,1239.484513
2022-02-21,203.100003,165.065006,150.798496,380.857506,129.668747,201.312504,1230.802262
2022-02-22,202.080002,164.320007,150.197495,377.380005,129.402496,198.740005,1222.12001
2022-02-23,198.449997,160.070007,144.826996,367.459991,127.584999,196.419998,1194.811988
2022-02-24,207.600006,162.740005,151.358002,390.029999,132.673492,198.429993,1242.831497
2022-02-25,210.479996,164.850006,153.788498,390.799988,134.519501,201.479996,1255.917985
2022-02-26,210.66333,164.940002,153.713333,392.039988,134.643336,202.766663,1258.7666520000002
2022-02-27,210.846665,165.029999,153.638169,393.279989,134.767171,204.053329,1261.615322
2022-02-28,211.029999,165.119995,153.563004,394.519989,134.891006,205.339996,1264.4639889999999
2022-03-01,203.490005,163.199997,151.141998,386.23999,134.167999,194.910004,1233.149993
2022-03-02,208.110001,166.559998,152.052505,380.029999,134.751495,197.809998,1239.313996
2022-03-03,202.970001,166.229996,147.898499,368.070007,134.307999,188.850006,1208.3265079999999
2022-03-04,200.059998,163.169998,145.641006,361.730011,132.121994,180.839996,1183.563003
2022-03-05,195.863332,161.88,142.911672,357.906677,130.236163,176.949997,1165.747841
2022-03-06,191.666667,160.590001,140.182337,354.083344,128.350331,173.059997,1147.932677
2022-03-07,187.470001,159.300003,137.453003,350.26001,126.4645,169.169998,1130.1175150000001
2022-03-08,190.289993,157.440002,136.014496,341.76001,127.278503,173.800003,1126.5830070000002
2022-03-09,198.5,162.949997,139.279007,358.790009,133.865997,178.559998,1171.9450080000001
2022-03-10,195.210007,158.520004,146.817505,356.769989,132.682007,178.389999,1168.3895109999999
2022-03-11,187.610001,154.729996,145.524506,340.320007,130.475494,176.229996,1134.89
2022-03-12,187.283336,153.359996,144.30067,337.216675,129.230662,175.993332,1127.384671
2022-03-13,186.95667,151.989995,143.076833,334.113342,127.985829,175.756668,1119.8793369999999
2022-03-14,186.630005,150.619995,141.852997,331.01001,126.740997,175.520004,1112.374008
2022-03-15,192.029999,155.089996,147.366501,343.75,129.660507,179.889999,1147.787002
2022-03-16,203.630005,159.589996,153.104004,357.529999,133.690506,188.990005,1196.534515
2022-03-17,207.839996,160.619995,157.238998,371.399994,134.600494,190.190002,1221.889479
2022-03-18,216.490005,163.979996,161.250504,380.600006,136.801498,192.830002,1251.9520109999999
2022-03-19,214.823338,164.446666,161.330836,378.596669,136.693832,190.519999,1246.41134
2022-03-20,213.156672,164.913335,161.411169,376.593333,136.586166,188.209997,1240.870672
2022-03-21,211.490005,165.380005,161.491501,374.589996,136.4785,185.899994,1235.3300009999998
2022-03-22,216.649994,168.820007,164.889008,382.920013,140.277496,191.039993,1264.596511
2022-03-23,213.460007,170.210007,163.408005,374.48999,138.503494,186.039993,1246.1114960000002
2022-03-24,219.570007,174.070007,163.649506,375.709991,141.311996,189.050003,1263.36151
2022-03-25,221.820007,174.720001,164.773499,373.850006,141.5215,188.949997,1265.63501
2022-03-26,222.410003,175.013336,166.179164,375.403341,141.664332,188.686666,1269.3568420000001
2022-03-27,223.0,175.306671,167.584829,376.956675,141.807165,188.423335,1273.078675
2022-03-28,223.589996,175.600006,168.990494,378.51001,141.949997,188.160004,1276.8005070000002
2022-03-29,229.860001,178.960007,169.315002,391.820007,143.25,193.800003,1307.00502
2022-03-30,227.850006,177.770004,166.300995,381.470001,142.644501,194.910004,1290.9455110000001
2022-03-31,222.360001,174.610001,162.997498,374.589996,139.649506,191.5,1265.7070019999999
2022-04-01,224.850006,174.309998,163.559998,373.470001,140.699997,190.759995,1267.6499950000002
2022-04-02,227.863337,175.686666,165.155498,379.480001,141.680832,190.899994,1280.7663280000002
2022-04-03,230.876668,177.063334,166.750997,385.49,142.661667,191.039994,1293.88266
2022-04-04,233.889999,178.440002,168.346497,391.5,143.642502,191.179993,1306.998993
2022-04-05,231.839996,175.059998,164.054993,380.149994,141.063004,182.649994,1274.817979
2022-04-06,223.300003,171.830002,158.755997,368.350006,137.175995,178.720001,1238.1320039999998
2022-04-07,222.949997,172.139999,157.7845,362.149994,136.464996,177.970001,1229.4594869999999
2022-04-08,222.330002,170.089996,154.460495,355.880005,134.010498,175.199997,1211.970993
